Source: https://www.census.gov/programs-surveys/popest/data/data-sets.html,,,,,
,,,,,
,,,,,
FIPSCode,LocationType,Location,TimeFrame,DataFormat,Data
6,State,California,2020,Number,"9,026,052"
6001,County,Alameda,2020,Number,"354,212"
6003,County,Alpine,2020,Number,163
6005,County,Amador,2020,Number,"5,509"
6007,County,Butte,2020,Number,"43,447"
6009,County,Calaveras,2020,Number,"6,502"
6011,County,Colusa,2020,Number,"5,763"
6013,County,Contra Costa,2020,Number,"249,162"
6015,County,Del Norte,2020,Number,"5,488"
6017,County,El Dorado,2020,Number,"33,830"
6019,County,Fresno,2020,Number,"281,256"
6021,County,Glenn,2020,Number,"7,226"
6023,County,Humboldt,2020,Number,"27,664"
6025,County,Imperial,2020,Number,"55,477"
6027,County,Inyo,2020,Number,"3,534"
6029,County,Kern,2020,Number,"253,010"
6031,County,Kings,2020,Number,"44,236"
6033,County,Lake,2020,Number,"14,322"
6035,County,Lassen,2020,Number,"5,239"
6037,County,Los Angeles,2020,Number,"2,211,286"
6039,County,Madera,2020,Number,"40,968"
6041,County,Marin,2020,Number,"48,434"
6043,County,Mariposa,2020,Number,"2,488"
6045,County,Mendocino,2020,Number,"20,066"
6047,County,Merced,2020,Number,"79,802"
6049,County,Modoc,2020,Number,"1,676"
6051,County,Mono,2020,Number,"2,483"
6053,County,Monterey,2020,Number,"114,917"
6055,County,Napa,2020,Number,"27,303"
6057,County,Nevada,2020,Number,"15,458"
6059,County,Orange,2020,Number,"713,234"
6061,County,Placer,2020,Number,"81,172"
6063,County,Plumas,2020,Number,"3,069"
6065,County,Riverside,2020,Number,"590,164"
6067,County,Sacramento,2020,Number,"368,364"
6069,County,San Benito,2020,Number,"13,807"
6071,County,San Bernardino,2020,Number,"556,799"
6073,County,San Diego,2020,Number,"760,789"
6075,County,San Francisco,2020,Number,"135,871"
6077,County,San Joaquin,2020,Number,"194,757"
6079,County,San Luis Obispo,2020,Number,"49,473"
6081,County,San Mateo,2020,Number,"158,846"
6083,County,Santa Barbara,2020,Number,"100,296"
6085,County,Santa Clara,2020,Number,"441,591"
6087,County,Santa Cruz,2020,Number,"52,227"
6089,County,Shasta,2020,Number,"38,090"
6091,County,Sierra,2020,Number,433
6093,County,Siskiyou,2020,Number,"8,139"
6095,County,Solano,2020,Number,"99,023"
6097,County,Sonoma,2020,Number,"92,630"
6099,County,Stanislaus,2020,Number,"149,337"
6101,County,Sutter,2020,Number,"25,315"
6103,County,Tehama,2020,Number,"15,215"
6105,County,Trinity,2020,Number,"2,212"
6107,County,Tulare,2020,Number,"140,954"
6109,County,Tuolumne,2020,Number,"8,175"
6111,County,Ventura,2020,Number,"194,310"
6113,County,Yolo,2020,Number,"48,086"
6115,County,Yuba,2020,Number,"22,753"
